,contributor,season,city,climate_zone,building_type,gender,age,height_cm,weight_kg,thermal_sensation,thermal_acceptability,clothing_insulation,metabolic_rate,mean_radiant_temperature,pmv_ce,ppd_ce,ta_l,ta,ta_h,vel_l,vel,vel_h,rh,tg_l,tg,tg_h,to,year,country,coolingsys,latitude,longitude,class,vel_m,tg_m,DFilled,EFilled,PFilled,PMVFill,source
100,Dalian University of Technology,winter,"Henan, Luoyang",Cold zone,office,female,35.5,170.0,52.0,-1.0,2.0,0.89,1.0,18.5,-1.89,71.95,15.3,16.8,19.2,0.0,0.0,0.0,30.0,18.5,18.5,18.5,17.8,2019.0,china,Convection heating,34.6367974,112.3921623,I,0.0,18.5,0.0,0.0,0.0,0.0,CN
110,Dalian University of Technology,winter,"Henan, Luoyang",Cold zone,office,female,35.5,164.0,55.0,0.0,1.0,0.79,1.0,22.9,-0.88,21.27,19.6,21.5,23.1,0.0,0.0,0.0,24.0,22.9,22.9,22.9,22.2,2019.0,china,Convection heating,34.6367974,112.3921623,I,0.0,22.9,0.0,0.0,0.0,0.0,CN
120,Dalian University of Technology,winter,"Henan, Luoyang",Cold zone,office,female,24.0,161.0,53.0,-1.0,1.0,1.25,1.0,16.6,-1.49,50.82,12.6,15.7,18.0,0.0,0.0,0.0,30.0,16.6,16.6,16.6,16.1,2019.0,china,Convection heating,34.6367974,112.3921623,I,0.0,16.6,0.0,0.0,0.0,0.0,CN
130,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,female,35.5,155.0,50.0,0.0,1.0,0.78,1.0,22.1,-1.07,29.49,19.8,20.8,22.1,0.0,0.0,0.0,28.0,22.1,22.1,22.1,21.5,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,22.1,0.0,0.0,0.0,0.0,CN
140,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,male,24.0,170.0,62.0,3.0,2.0,1.12,0.9,27.2,0.48,9.93,25.7,25.8,26.6,0.0,0.0,0.0,21.0,27.2,27.2,27.2,26.6,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,27.2,0.0,0.0,0.0,0.0,CN
150,Dalian University of Technology,winter,"Henan, Zhengzhou",Cold zone,office,male,24.0,178.0,88.0,0.0,1.0,1.11,1.0,26.9,0.77,17.5,25.2,25.8,26.9,0.0,0.0,0.0,22.0,26.9,26.9,26.9,26.4,2019.0,china,Convection heating,34.8007359,113.81658688850769,I,0.0,26.9,0.0,0.0,0.0,0.0,CN
160,Dalian University of Technology,winter,Tianjin,Cold zone,office,male,35.5,179.0,85.0,0.0,1.0,0.67,1.0,23.1,-0.86,20.82,22.4,22.6,23.8,0.0,0.0,0.0,25.0,23.1,23.1,23.1,23.0,2019.0,china,Convection heating,39.3032619,117.4163641,I,0.0,23.1,0.0,0.0,0.0,0.0,CN
170,Dalian University of Technology,winter,Tianjin,Cold zone,office,male,45.5,178.0,79.0,0.0,1.0,0.89,1.0,23.7,-0.26,6.4,23.0,23.0,24.3,0.0,0.0,0.0,25.0,23.7,23.7,23.7,23.5,2019.0,china,Convection heating,39.3032619,117.4163641,I,0.0,23.7,0.0,0.0,0.0,0.0,CN
180,Dalian University of Technology,winter,Tianjin,Cold zone,office,male,35.5,172.0,75.0,2.0,2.0,0.85,1.0,25.8,0.13,5.37,23.5,24.2,26.2,0.0,0.0,0.0,24.0,25.8,25.8,25.8,25.2,2019.0,china,Radiator heating,39.3032619,117.4163641,I,0.0,25.8,0.0,0.0,0.0,0.0,CN
190,Dalian University of Technology,winter,Tianjin,Cold zone,office,female,35.5,171.0,86.4,1.0,1.0,1.18,1.0,27.3,0.64,13.72,23.1,23.4,25.5,0.0,0.0,0.0,26.0,27.3,27.3,27.3,25.6,2019.0,china,Radiator heating,39.3032619,117.4163641,I,0.0,27.3,0.0,0.0,25.0,0.0,CN
200,Dalian University of Technology,winter,Tianjin,Cold zone,office,male,35.5,170.0,70.0,1.0,1.0,1.52,1.0,25.3,0.76,17.15,23.6,24.0,25.2,0.0,0.0,0.0,25.0,25.3,25.3,25.3,24.8,2019.0,china,Radiator heating,39.3032619,117.4163641,I,0.0,25.3,0.0,0.0,0.0,0.0,CN
210,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,residential,female,24.0,181.9,86.4,0.0,1.0,1.02,1.0,21.8,-0.47,9.66,20.9,21.1,21.7,0.0,0.0,0.0,43.0,21.8,21.8,21.8,21.5,2019.0,china,Radiator heating,38.9152032,121.5591728,I,0.0,21.8,0.0,0.0,50.0,0.0,CN
220,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,residential,female,24.0,181.9,86.4,0.0,1.0,0.82,1.0,21.4,-1.05,28.46,19.8,20.4,20.6,0.0,0.0,0.0,47.0,21.4,21.4,21.4,20.9,2019.0,china,Radiator heating,38.9152032,121.5591728,I,0.0,21.4,0.0,0.0,50.0,0.0,CN
230,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,residential,male,35.5,175.0,55.0,0.0,1.0,0.77,1.0,23.1,-0.5,10.17,23.6,23.1,23.4,0.0,0.0,0.0,34.0,23.1,23.1,23.1,23.2,2019.0,china,Radiant floor heating,38.9152032,121.5591728,I,0.0,23.1,0.0,0.0,0.0,0.0,CN
240,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,residential,female,60.0,155.0,65.0,-1.0,2.0,1.65,0.9,20.2,-0.4,8.4,20.5,20.3,20.6,0.0,0.0,0.0,31.0,20.2,20.2,20.2,20.3,2019.0,china,Radiant floor heating,38.9152032,121.5591728,I,0.0,20.2,0.0,0.0,0.0,0.0,CN
250,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,residential,female,24.0,161.0,52.0,1.0,1.0,1.56,0.9,22.1,0.02,5.01,22.7,22.1,22.0,0.0,0.0,0.0,44.0,22.1,22.1,22.1,22.2,2019.0,china,Radiant floor heating,38.9152032,121.5591728,I,0.0,22.1,0.0,0.0,0.0,0.0,CN
260,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,residential,female,24.0,170.0,56.0,0.0,1.0,0.95,1.0,20.5,-0.81,18.93,21.2,21.0,20.8,0.0,0.0,0.0,39.0,20.5,20.5,20.5,20.8,2019.0,china,Radiant floor heating,38.9152032,121.5591728,I,0.0,20.5,0.0,0.0,0.0,0.0,CN
270,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,residential,female,24.0,168.0,60.0,0.0,1.0,1.48,0.9,19.9,-0.6,12.48,20.5,20.3,20.7,0.0,0.0,0.0,38.0,19.9,19.9,19.9,20.2,2019.0,china,Radiant floor heating,38.9152032,121.5591728,I,0.0,19.9,0.0,0.0,0.0,0.0,CN
280,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,office,male,24.0,181.9,86.4,0.0,1.0,1.21,1.0,22.0,-0.19,5.78,20.7,21.2,21.6,0.0,0.0,0.0,37.0,22.0,22.0,22.0,21.6,2019.0,china,Radiator heating,38.9152032,121.5591728,I,0.0,22.0,0.0,0.0,50.0,0.0,CN
290,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,office,female,24.0,165.0,53.0,0.0,2.0,1.47,1.0,22.4,0.23,6.14,21.5,21.9,22.0,0.0,0.0,0.0,36.0,22.4,22.4,22.4,22.1,2019.0,china,Radiator heating,38.9152032,121.5591728,I,0.0,22.4,0.0,0.0,0.0,0.0,CN
300,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,office,male,24.0,178.0,75.0,1.0,1.0,1.14,1.0,22.7,-0.09,5.17,21.6,22.3,22.7,0.0,0.0,0.0,34.0,22.7,22.7,22.7,22.5,2019.0,china,Radiator heating,38.9152032,121.5591728,I,0.0,22.7,0.0,0.0,0.0,0.0,CN
310,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,office,female,24.0,161.0,51.0,-1.0,2.0,1.64,1.0,19.0,-0.41,8.51,17.4,17.7,19.0,0.0,0.0,0.0,23.0,19.0,19.0,19.0,18.5,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,19.0,0.0,0.0,0.0,0.0,CN
320,Dalian University of Technology,winter,"Liaoning, Dalian",Cold zone,office,male,35.5,175.0,70.0,1.0,1.0,1.29,0.9,22.2,-0.52,10.76,21.1,21.8,22.1,0.0,0.0,0.0,25.0,22.2,22.2,22.2,22.0,2019.0,china,Radiator heating,38.9152032,121.5591728,I,0.0,22.2,0.0,0.0,0.0,0.0,CN
330,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,female,24.0,160.0,56.0,0.0,1.0,0.89,1.0,25.7,0.4,8.34,25.5,25.8,26.1,0.0,0.0,0.0,27.0,25.7,25.7,25.7,25.8,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,25.7,0.0,0.0,0.0,0.0,CN
340,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,male,24.0,170.0,65.0,1.0,1.0,1.03,1.0,26.4,0.74,16.67,25.6,26.4,26.6,0.0,0.0,0.0,30.0,26.4,26.4,26.4,26.3,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,26.4,0.0,0.0,0.0,0.0,CN
350,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,female,24.0,165.0,46.0,0.0,2.0,0.57,0.9,25.1,-0.86,20.66,25.2,25.2,25.2,0.0,0.01,0.03,25.0,25.1,25.1,25.1,25.1,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.01,25.1,0.0,0.0,0.0,0.0,CN
360,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,male,24.0,180.0,67.0,1.0,1.0,0.59,1.2,25.8,0.39,8.23,26.0,26.3,26.1,0.0,0.0,0.0,26.0,25.8,25.8,25.8,26.0,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,25.8,0.0,0.0,0.0,0.0,CN
370,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,female,24.0,160.0,50.0,1.0,1.0,0.52,0.9,25.8,-0.7,15.48,25.8,26.1,26.1,0.0,0.0,0.0,21.0,25.8,25.8,25.8,25.9,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,25.8,0.0,0.0,0.0,0.0,CN
380,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,female,24.0,155.0,49.0,-1.0,2.0,0.57,0.9,25.0,-0.77,17.74,24.8,25.4,25.7,0.0,0.0,0.0,33.0,25.0,25.0,25.0,25.2,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,25.0,0.0,0.0,0.0,0.0,CN
390,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,female,24.0,158.0,42.0,0.0,2.0,0.49,1.0,24.3,-0.8,18.55,24.6,24.5,24.4,0.0,0.0,0.0,27.0,24.3,24.3,24.3,24.4,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,24.3,0.0,0.0,0.0,0.0,CN
400,Dalian University of Technology,transition,"Liaoning, Dalian",Cold zone,office,male,24.0,176.0,64.0,0.0,1.0,0.75,1.0,25.1,-0.01,5.0,25.1,25.0,25.2,0.0,0.0,0.0,27.0,25.1,25.1,25.1,25.1,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,25.1,0.0,0.0,0.0,0.0,CN
410,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,24.0,178.0,62.0,1.0,1.0,0.49,1.0,26.4,0.35,7.6,26.4,26.6,26.8,0.0,0.0,0.0,66.0,26.4,26.4,26.4,26.5,2019.0,china,Naturally Ventilated,38.9152032,121.5591728,I,0.0,26.4,0.0,0.0,0.0,0.0,CN
420,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,female,24.0,160.0,51.0,1.0,1.0,0.25,0.9,29.2,0.65,13.89,29.8,30.0,30.0,0.13,0.2,0.15,70.0,29.6,29.6,29.6,29.6,2019.0,china,Others,34.8007359,113.81658688850769,I,0.2,29.6,0.0,0.0,0.0,0.0,CN
430,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,female,24.0,170.0,63.0,0.0,1.0,0.34,1.0,25.7,-0.76,17.14,23.9,24.4,25.3,0.09,0.03,0.05,53.0,25.3,25.3,25.3,25.1,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.03,25.3,0.0,0.0,0.0,0.0,CN
440,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,female,24.0,160.0,51.0,-1.0,1.0,0.34,0.9,24.9,-1.26,38.5,24.6,24.9,25.0,0.02,0.06,0.08,69.0,24.9,24.9,24.9,24.9,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.06,24.9,0.0,0.0,0.0,0.0,CN
450,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,female,24.0,181.9,86.4,1.0,2.0,0.34,1.0,25.5,-0.41,8.61,25.1,25.5,25.6,0.01,0.01,0.03,70.0,25.5,25.5,25.5,25.5,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.01,25.5,0.0,0.0,50.0,0.0,CN
460,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,female,24.0,181.9,86.4,0.0,1.0,0.24,1.3,26.0,-0.01,5.0,24.3,25.1,25.7,0.1,0.02,0.06,57.0,25.8,25.8,25.8,25.5,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.02,25.8,0.0,0.0,50.0,0.0,CN
470,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,female,24.0,160.0,52.0,1.0,2.0,0.43,1.0,28.5,0.97,24.91,28.4,28.4,28.0,0.0,0.01,0.0,61.0,28.5,28.5,28.5,28.4,2019.0,china,Naturally Ventilated,34.8007359,113.81658688850769,I,0.01,28.5,0.0,0.0,0.0,0.0,CN
480,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,male,35.5,175.0,60.0,0.0,1.0,0.29,1.0,27.7,-0.04,5.04,27.4,27.7,27.8,0.1,0.27,0.23,65.0,27.7,27.7,27.7,27.7,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.27,27.7,0.0,0.0,0.0,0.0,CN
490,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,male,24.0,175.0,80.0,0.0,1.0,0.24,1.0,27.5,0.13,5.36,26.8,27.3,27.3,0.03,0.07,0.1,66.0,27.4,27.4,27.4,27.3,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.07,27.4,0.0,0.0,0.0,0.0,CN
500,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,male,35.5,170.0,66.0,0.0,1.0,0.2,1.0,28.5,0.34,7.48,27.1,27.6,27.7,0.01,0.04,0.01,66.0,28.2,28.2,28.2,28.0,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.04,28.2,0.0,0.0,0.0,0.0,CN
510,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,male,24.0,171.0,72.0,1.0,2.0,0.39,0.9,27.8,0.18,5.64,26.9,27.3,27.4,0.01,0.02,0.09,68.0,27.7,27.7,27.7,27.5,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.02,27.7,0.0,0.0,0.0,0.0,CN
520,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,male,35.5,170.0,62.0,3.0,2.0,0.59,0.9,27.6,0.65,14.04,27.9,27.6,27.7,0.01,0.0,0.02,69.0,27.6,27.6,27.6,27.7,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.0,27.6,0.0,0.0,0.0,0.0,CN
530,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,male,35.5,175.0,85.0,0.0,1.0,0.42,1.0,24.6,-1.23,36.87,23.2,23.4,23.7,0.35,0.1,0.17,68.0,24.1,24.1,24.1,24.0,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.1,24.1,0.0,0.0,0.0,0.0,CN
540,Dalian University of Technology,summer,"Henan, Zhengzhou",Cold zone,office,male,55.5,172.0,75.0,-1.0,1.0,0.56,1.0,26.0,0.18,5.7,25.6,25.8,25.8,0.03,0.16,0.06,67.0,25.9,25.9,25.9,25.9,2019.0,china,Convection cooling,34.8007359,113.81658688850769,I,0.16,25.9,0.0,0.0,0.0,0.0,CN
550,Dalian University of Technology,summer,"Henan, Luoyang",Cold zone,office,male,24.0,175.0,65.0,0.0,1.0,0.52,1.0,25.6,0.12,5.28,25.8,25.9,25.5,0.04,0.05,0.15,69.0,25.7,25.7,25.7,25.7,2019.0,china,Convection cooling,34.6367974,112.3921623,I,0.05,25.7,0.0,0.0,0.0,0.0,CN
560,Dalian University of Technology,summer,"Henan, Luoyang",Cold zone,office,female,24.0,160.0,48.0,-1.0,1.0,0.25,0.9,26.0,-1.15,33.05,26.0,26.2,26.3,0.04,0.18,0.1,67.0,26.1,26.1,26.1,26.1,2019.0,china,Convection cooling,34.6367974,112.3921623,I,0.18,26.1,0.0,0.0,0.0,0.0,CN
570,Dalian University of Technology,summer,"Henan, Luoyang",Cold zone,office,male,24.0,168.0,70.0,0.0,1.0,0.35,1.2,26.4,0.14,5.39,25.3,25.6,25.9,0.11,0.15,0.09,66.0,26.0,26.0,26.0,26.0,2019.0,china,Convection cooling,34.6367974,112.3921623,I,0.15,26.0,0.0,0.0,0.0,0.0,CN
580,Dalian University of Technology,summer,"Henan, Luoyang",Cold zone,office,male,24.0,178.0,76.0,0.0,1.0,0.26,0.9,25.6,-1.42,46.92,24.7,25.2,24.6,0.05,0.11,0.07,66.0,25.4,25.4,25.4,25.2,2019.0,china,Convection cooling,34.6367974,112.3921623,I,0.11,25.4,0.0,0.0,0.0,0.0,CN
590,Dalian University of Technology,summer,"Henan, Luoyang",Cold zone,office,female,24.0,160.0,52.0,0.0,1.0,0.24,1.0,25.7,-0.83,19.56,25.4,25.6,25.5,0.03,0.03,0.07,50.0,25.7,25.7,25.7,25.6,2019.0,china,Convection cooling,34.6367974,112.3921623,I,0.03,25.7,0.0,0.0,0.0,0.0,CN
600,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,female,24.0,165.0,50.0,0.0,1.0,0.33,1.0,25.4,-0.56,11.6,25.8,25.9,25.9,0.04,0.11,0.05,47.0,25.6,25.6,25.6,25.6,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.11,25.6,0.0,0.0,0.0,0.0,CN
610,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,24.0,170.0,75.0,0.0,1.0,1.28,1.0,26.8,1.2,35.47,27.5,27.5,27.4,0.04,0.12,0.17,41.0,27.1,27.1,27.1,27.1,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.12,27.1,0.0,0.0,0.0,0.0,CN
620,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,24.0,175.0,62.5,0.0,1.0,0.59,1.0,26.1,0.29,6.77,26.2,26.3,26.2,0.01,0.01,0.03,52.0,26.1,26.1,26.1,26.2,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.01,26.1,0.0,0.0,0.0,0.0,CN
630,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,female,55.5,165.0,50.0,0.0,1.0,0.38,1.0,27.2,0.43,8.96,27.6,27.8,28.0,0.02,0.01,0.01,54.0,27.3,27.3,27.3,27.5,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.01,27.3,0.0,0.0,0.0,0.0,CN
640,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,35.5,178.0,78.0,0.0,1.0,0.32,1.2,25.9,0.15,5.48,26.2,26.4,26.4,0.18,0.01,0.01,49.0,26.0,26.0,26.0,26.1,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.01,26.0,0.0,0.0,0.0,0.0,CN
650,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,24.0,176.0,60.0,-1.0,1.0,0.31,1.0,26.1,-0.41,8.6,26.3,26.1,25.9,0.02,0.05,0.01,47.0,26.1,26.1,26.1,26.1,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.05,26.1,0.0,0.0,0.0,0.0,CN
660,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,24.0,174.0,75.0,0.0,2.0,1.15,0.9,28.3,1.07,29.15,27.6,28.0,28.2,0.01,0.09,0.48,45.0,28.2,28.2,28.2,28.1,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.09,28.2,0.0,0.0,0.0,0.0,CN
670,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,35.5,162.0,73.5,0.0,1.0,0.42,1.2,26.1,0.35,7.63,25.4,26.1,27.1,0.02,0.0,0.01,51.0,26.1,26.1,26.1,26.1,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.0,26.1,0.0,0.0,0.0,0.0,CN
680,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,24.0,175.0,74.0,-1.0,1.0,0.43,1.2,24.8,-0.05,5.05,24.6,24.8,24.5,0.02,0.05,0.1,57.0,24.8,24.8,24.8,24.7,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.05,24.8,0.0,0.0,0.0,0.0,CN
690,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,35.5,188.0,80.0,0.0,1.0,0.34,1.0,26.4,-0.05,5.04,26.9,26.9,27.0,0.01,0.05,0.03,49.0,26.6,26.6,26.6,26.7,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.05,26.6,0.0,0.0,0.0,0.0,CN
700,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,35.5,168.0,58.0,2.0,1.0,0.79,1.0,27.0,0.9,22.33,27.4,27.4,27.5,0.01,0.01,0.02,47.0,27.1,27.1,27.1,27.2,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.01,27.1,0.0,0.0,0.0,0.0,CN
710,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,35.5,172.0,67.5,0.0,1.0,0.57,0.9,27.0,0.32,7.15,28.1,28.1,28.0,0.0,0.1,0.04,44.0,27.5,27.5,27.5,27.6,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.1,27.5,0.0,0.0,0.0,0.0,CN
720,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,female,35.5,164.0,57.0,0.0,1.0,0.3,1.0,25.3,-0.55,11.4,26.1,26.2,25.9,0.01,0.01,0.04,52.0,25.5,25.5,25.5,25.7,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.01,25.5,0.0,0.0,0.0,0.0,CN
730,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,female,24.0,164.0,48.0,0.0,1.0,0.49,1.0,25.3,-0.13,5.36,25.7,25.8,25.6,0.02,0.05,0.04,54.0,25.5,25.5,25.5,25.5,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.05,25.5,0.0,0.0,0.0,0.0,CN
740,Dalian University of Technology,summer,"Liaoning, Dalian",Cold zone,office,male,24.0,183.0,71.0,0.0,1.0,0.37,1.0,25.7,-0.38,8.02,25.7,25.8,25.7,0.13,0.02,0.01,52.0,25.7,25.7,25.7,25.7,2019.0,china,Convection cooling,38.9152032,121.5591728,I,0.02,25.7,0.0,0.0,0.0,0.0,CN
750,Harbin Institute of Technology,winter,"Heilongjiang,  Harbin",Severe cold zone,office,male,35.0,154.5,44.5,-0.4,4.2,1.02,1.0,18.2,-1.43,47.47,17.0,18.3,20.1,0.09,0.09,0.09,22.0,17.7,17.7,17.7,18.3,2011.0,china,Radiator heating,45.70667025,126.6123989962376,I,0.09,17.7,0.0,0.0,25.0,0.0,CN
